S.No.,Test Case,Type of Test case (Positive/Negative),Remarks
1,Verify that whether all the required mandatory fields are working as required.,Positive,
2,Verify that all the required/mandatory fields are marked with * against the field,Positive,
3,Verify that whether the application works as per as requirement whenever the application starts/stops.,Positive,
4,"Verify that whether the application goes into minimized mode whenever there is an incoming phone call. To Verify the same we need to use a second phone, to call the device.",Positive,
5,"Verify that whether the phone is able to store, process and receive SMS whenever the app is running. In order Verify that the same we need to use a second phone to send sms to the device which is being tested and where the application under test is currently running.",Positive,
6,Verify that the device is able to perform required multitasking requirements whenever it is necessary to do so.,Positive,
7,"Verify that the application allows necessary social network options such as sharing, posting and navigation etc. as per requirement",Positive,
8,"Verify that the application supports any payment gateway transaction such as Visa, Mastercard, Paypal etc as required by the application.",Positive,
9,Verify that the page scrolling scenarios are being enabled in the application as necessary.,Positive,
10,Verify that the navigation between relevant modules in the application are as per the requirement.,Positive,
11,Verify that the user receives an appropriate error message like “Network error. Please try after some time” whenever there is any network error.,Positive,
12,"Verify that the installed application enables other applications to perform satisfactorily, and it does not consumes the memory of the other applications.",Positive,
13,Verify that the app resume at the last operation in case of a hard reboot or system crash,Negative,
14,Verify that whether the installation of the application can be done smoothly provided the user has the necessary resources and it does not lead to any significant errors.,Positive,
15,Verify that the application performs auto start facility according to the requirements.,Positive,
16,"Verify that whether the application performs in all network conditions and versions of Mobile that is 2g, 3g and 4g.",Positive,
17,To perform Regression Testing to uncover new software bugs in existing areas of a system after changes have been made to them. Also rerun previously performed tests Verify that the program behavior has not changed due to the changes.,Positive,
18,Verify that whether the application provides an available user guide for those who are not familiar to the app,Positive,
19,Verify that the application works successfully after automatic update.,Positive,
20,Verify that whether the application performs as per the requirement under different load conditions.,Positive,
21,"Verify that whether the current network coverage is able to support the application at peak, average and minimum user levels.",Positive,
22,Verify that whether the existing client-server configuration setup provides the required optimum performance level.,Positive,
23,Verify that the various application and infrastructure bottlenecks which prevent the application to perform at the required acceptability levels.,Negative,
24,Verify that whether the response time of the application is as per as the requirements.,Positive,
25,Verify that whether the battery life can support the application to perform under projected load volumes.,Negative,
26,Verify that application performance when network is changed to WIFI from 2G/3G or vice versa.,Negative,
27,Verify that each of the required the CPU cycle is optimization,Positive,
28,"Verify that the battery consumption, memory leaks, resources like GPS, Camera performance is well within required guidelines.",Positive,
29,Verify that the application longevity whenever the user load is rigorous.,Negative,
30,Verify that the network performance while moving around with the device.,Negative,
31,Verify that the application performance when only intermittent phases of connectivity is required.,Negative,
32,"Verify if Lack of space to install or run the application.
",Negative,
33,"Verify that the application is able to withstand any brute force attack which is an automated process of trial and error used to guess a person’s username, password or credit-card number.",Negative,
34,Verify that whether an application is not permitting an attacker to access sensitive content or functionality without proper authentication.,Negative,
35,"Verify that the application has a strong password protection system and it does not permit an attacker to obtain, change or recover another user’s password.",Positive,
36,Verify that the application does not suffer from insufficient session expiration.,Positive,
37,Verify that application is capable enough to prevent from SQL injection related attacks.,Negative,
